Dataset,Epoch,Accuracy,Time,Total Correct,Total Test Sample
16,1,0.5783333333333334,21.341064929962158,1735,3000
16,2,0.6283333333333333,20.584659337997437,1885,3000
16,3,0.6486666666666666,20.607958555221558,1946,3000
16,4,0.685,21.562297105789185,2055,3000
16,5,0.723,20.614341974258423,2169,3000
16,6,0.7433333333333333,20.64922285079956,2230,3000
16,7,0.7533333333333333,20.47314214706421,2260,3000
16,8,0.7636666666666667,20.362561225891113,2291,3000
16,9,0.765,20.40309238433838,2295,3000
16,10,0.752,20.486613273620605,2256,3000
16,11,0.7396666666666667,20.438668489456177,2219,3000
16,12,0.726,20.649640798568726,2178,3000
16,13,0.749,20.479385375976562,2247,3000
16,14,0.737,20.379659175872803,2211,3000
16,15,0.727,20.850954055786133,2181,3000
16,16,0.7253333333333334,20.363097190856934,2176,3000
16,17,0.701,20.363721132278442,2103,3000
16,18,0.758,20.457191228866577,2274,3000
16,19,0.7573333333333333,20.486282110214233,2272,3000
16,20,0.7176666666666667,20.44319725036621,2153,3000
16,21,0.7173333333333334,20.557923793792725,2152,3000
16,22,0.7286666666666667,20.60924196243286,2186,3000
16,23,0.7183333333333334,21.704910039901733,2155,3000
16,24,0.7506666666666667,21.639164209365845,2252,3000
16,25,0.7596666666666667,21.133925437927246,2279,3000
16,26,0.7593333333333333,20.44551658630371,2278,3000
16,27,0.7736666666666666,20.33834195137024,2321,3000
16,28,0.7746666666666666,20.567333698272705,2324,3000
16,29,0.7746666666666666,20.445724487304688,2324,3000
16,30,0.77,20.837841987609863,2310,3000
16,31,0.772,20.565560817718506,2316,3000
16,32,0.769,20.692927598953247,2307,3000
16,33,0.7713333333333333,20.40610384941101,2314,3000
16,34,0.7733333333333333,20.726011753082275,2320,3000
16,35,0.775,21.114094257354736,2325,3000
16,36,0.7766666666666666,20.68598246574402,2330,3000
16,37,0.7766666666666666,20.690436840057373,2330,3000
16,38,0.7773333333333333,21.07491159439087,2332,3000
16,39,0.7756666666666666,20.978773832321167,2327,3000
16,40,0.7766666666666666,20.848689794540405,2330,3000
16,41,0.7763333333333333,20.615850925445557,2329,3000
16,42,0.7756666666666666,20.363848209381104,2327,3000
16,43,0.777,20.69744062423706,2331,3000
16,44,0.7766666666666666,20.495685338974,2330,3000
16,45,0.7743333333333333,20.668025016784668,2323,3000
16,46,0.7746666666666666,20.545008182525635,2324,3000
16,47,0.7723333333333333,20.440399169921875,2317,3000
16,48,0.774,20.572867155075073,2322,3000
16,49,0.7723333333333333,20.708406448364258,2317,3000
16,50,0.7726666666666666,20.390372037887573,2318,3000
16,51,0.774,20.73589301109314,2322,3000
16,52,0.7733333333333333,20.85422921180725,2320,3000
16,53,0.7726666666666666,20.379106044769287,2318,3000
16,54,0.7726666666666666,20.406487941741943,2318,3000
16,55,0.774,20.59529447555542,2322,3000
16,56,0.7733333333333333,20.388012886047363,2320,3000
16,57,0.7726666666666666,20.637598752975464,2318,3000
16,58,0.7723333333333333,20.54809808731079,2317,3000
16,59,0.7726666666666666,20.31662940979004,2318,3000
16,60,0.772,20.666780471801758,2316,3000
16,61,0.772,20.86696696281433,2316,3000
16,62,0.7706666666666667,20.749732494354248,2312,3000
16,63,0.7713333333333333,20.7675724029541,2314,3000
16,64,0.7713333333333333,20.981580018997192,2314,3000
16,65,0.77,20.48731255531311,2310,3000
16,66,0.7706666666666667,20.47561526298523,2312,3000
16,67,0.7716666666666666,20.414698600769043,2315,3000
16,68,0.7726666666666666,20.51717495918274,2318,3000
16,69,0.7726666666666666,20.539541959762573,2318,3000
16,70,0.7736666666666666,20.71434187889099,2321,3000
16,71,0.7746666666666666,20.598432779312134,2324,3000
16,72,0.773,20.87052035331726,2319,3000
16,73,0.773,20.900941371917725,2319,3000
16,74,0.774,20.956818342208862,2322,3000
16,75,0.7743333333333333,20.89115571975708,2323,3000
16,76,0.7746666666666666,20.724987030029297,2324,3000
16,77,0.7746666666666666,20.808876752853394,2324,3000
16,78,0.7746666666666666,20.326754808425903,2324,3000
16,79,0.775,20.869908094406128,2325,3000
16,80,0.7746666666666666,20.42367720603943,2324,3000
16,81,0.776,20.897813320159912,2328,3000
16,82,0.7756666666666666,20.650376558303833,2327,3000
16,83,0.776,20.356889724731445,2328,3000
16,84,0.7746666666666666,20.506006717681885,2324,3000
16,85,0.7773333333333333,20.924468278884888,2332,3000
16,86,0.7703333333333333,20.636799097061157,2311,3000
16,87,0.7756666666666666,20.224599838256836,2327,3000
16,88,0.775,20.682053565979004,2325,3000
16,89,0.776,20.470224618911743,2328,3000
16,90,0.7753333333333333,20.635653257369995,2326,3000
16,91,0.7763333333333333,20.50732398033142,2329,3000
16,92,0.775,21.51159381866455,2325,3000
16,93,0.775,20.65382719039917,2325,3000
16,94,0.7756666666666666,20.540016889572144,2327,3000
16,95,0.774,20.491204261779785,2322,3000
16,96,0.7743333333333333,20.85969638824463,2323,3000
16,97,0.776,20.564965963363647,2328,3000
16,98,0.776,20.491949558258057,2328,3000
16,99,0.776,20.997584342956543,2328,3000
16,100,0.776,20.44661235809326,2328,3000
