Dataset,Epoch,Accuracy,Time,Total Correct,Total Test Sample
4,1,0.5646666666666667,20.236331939697266,1694,3000
4,2,0.6153333333333333,20.61055850982666,1846,3000
4,3,0.6373333333333333,20.342719554901123,1912,3000
4,4,0.673,20.114193201065063,2019,3000
4,5,0.6923333333333334,20.033828735351562,2077,3000
4,6,0.718,20.3543918132782,2154,3000
4,7,0.7366666666666667,20.252764463424683,2210,3000
4,8,0.741,20.25770878791809,2223,3000
4,9,0.74,20.217782974243164,2220,3000
4,10,0.748,20.717872858047485,2244,3000
4,11,0.743,20.315961599349976,2229,3000
4,12,0.732,20.319011926651,2196,3000
4,13,0.7396666666666667,20.099668264389038,2219,3000
4,14,0.7423333333333333,20.24104142189026,2227,3000
4,15,0.7,20.83198595046997,2100,3000
4,16,0.7416666666666667,20.135674715042114,2225,3000
4,17,0.7253333333333334,20.2822425365448,2176,3000
4,18,0.705,20.433784246444702,2115,3000
4,19,0.759,20.1008243560791,2277,3000
4,20,0.746,20.331629991531372,2238,3000
4,21,0.725,20.256678342819214,2175,3000
4,22,0.721,20.22449254989624,2163,3000
4,23,0.748,20.749298334121704,2244,3000
4,24,0.746,20.72790026664734,2238,3000
4,25,0.733,20.166678428649902,2199,3000
4,26,0.7203333333333334,20.216883897781372,2161,3000
4,27,0.727,20.226786375045776,2181,3000
4,28,0.758,20.27185893058777,2274,3000
4,29,0.7576666666666667,20.266360998153687,2273,3000
4,30,0.749,20.22123646736145,2247,3000
4,31,0.746,20.206113815307617,2238,3000
4,32,0.7526666666666667,20.47148847579956,2258,3000
4,33,0.7576666666666667,20.189714431762695,2273,3000
4,34,0.7586666666666667,20.256832361221313,2276,3000
4,35,0.76,20.162517070770264,2280,3000
4,36,0.7606666666666667,20.241246223449707,2282,3000
4,37,0.7583333333333333,20.280688524246216,2275,3000
4,38,0.7583333333333333,20.381502389907837,2275,3000
4,39,0.7586666666666667,20.248289823532104,2276,3000
4,40,0.7573333333333333,20.593289852142334,2272,3000
4,41,0.7573333333333333,20.146326541900635,2272,3000
4,42,0.7576666666666667,20.116502046585083,2273,3000
4,43,0.7576666666666667,20.16512703895569,2273,3000
4,44,0.758,20.511905193328857,2274,3000
4,45,0.7586666666666667,20.123366832733154,2276,3000
4,46,0.7573333333333333,20.649140119552612,2272,3000
4,47,0.7583333333333333,20.340519666671753,2275,3000
4,48,0.7573333333333333,20.161794900894165,2272,3000
4,49,0.7576666666666667,20.397700786590576,2273,3000
4,50,0.7566666666666667,20.184156894683838,2270,3000
4,51,0.7583333333333333,20.242018938064575,2275,3000
4,52,0.758,20.150795221328735,2274,3000
4,53,0.7576666666666667,20.294654369354248,2273,3000
4,54,0.7576666666666667,20.94110107421875,2273,3000
4,55,0.7566666666666667,20.085278034210205,2270,3000
4,56,0.757,20.144924640655518,2271,3000
4,57,0.757,20.240349292755127,2271,3000
4,58,0.7576666666666667,20.169392347335815,2273,3000
4,59,0.7573333333333333,20.233567476272583,2272,3000
4,60,0.7573333333333333,20.374775409698486,2272,3000
4,61,0.7583333333333333,20.191587686538696,2275,3000
4,62,0.7576666666666667,21.628758192062378,2273,3000
4,63,0.7583333333333333,20.482068061828613,2275,3000
4,64,0.7606666666666667,20.208693981170654,2282,3000
4,65,0.7586666666666667,20.501182794570923,2276,3000
4,66,0.7593333333333333,20.79676365852356,2278,3000
4,67,0.7586666666666667,20.438479900360107,2276,3000
4,68,0.7596666666666667,20.378098964691162,2279,3000
4,69,0.7603333333333333,20.297298908233643,2281,3000
4,70,0.761,20.235796213150024,2283,3000
4,71,0.7613333333333333,20.25031089782715,2284,3000
4,72,0.7626666666666667,20.202465057373047,2288,3000
4,73,0.7616666666666667,20.521106719970703,2285,3000
4,74,0.7613333333333333,20.242796182632446,2284,3000
4,75,0.762,20.28960919380188,2286,3000
4,76,0.7623333333333333,20.495198488235474,2287,3000
4,77,0.7623333333333333,20.75339913368225,2287,3000
4,78,0.7613333333333333,20.25635862350464,2284,3000
4,79,0.762,20.435052156448364,2286,3000
4,80,0.7613333333333333,20.256104469299316,2284,3000
4,81,0.7623333333333333,20.767317295074463,2287,3000
4,82,0.7616666666666667,20.43281102180481,2285,3000
4,83,0.7623333333333333,20.262390851974487,2287,3000
4,84,0.763,20.38551425933838,2289,3000
4,85,0.763,20.393911123275757,2289,3000
4,86,0.763,20.147715091705322,2289,3000
4,87,0.7626666666666667,20.704798460006714,2288,3000
4,88,0.7633333333333333,20.470815181732178,2290,3000
4,89,0.763,20.18156361579895,2289,3000
4,90,0.7633333333333333,20.190927743911743,2290,3000
4,91,0.764,20.140587329864502,2292,3000
4,92,0.764,20.25051474571228,2292,3000
4,93,0.7633333333333333,20.254679679870605,2290,3000
4,94,0.764,20.258180379867554,2292,3000
4,95,0.7643333333333333,20.13025665283203,2293,3000
4,96,0.764,20.575772047042847,2292,3000
4,97,0.7636666666666667,20.624911308288574,2291,3000
4,98,0.764,20.063093185424805,2292,3000
4,99,0.764,20.468215465545654,2292,3000
4,100,0.7633333333333333,20.152690649032593,2290,3000
