Dataset,Epoch,Accuracy,Time,Total Correct,Total Test Sample
64,1,0.5826666666666667,20.888494968414307,1748,3000
64,2,0.625,21.012186288833618,1875,3000
64,3,0.6546666666666666,20.89918804168701,1964,3000
64,4,0.685,20.99854874610901,2055,3000
64,5,0.725,20.890319108963013,2175,3000
64,6,0.7403333333333333,21.56004238128662,2221,3000
64,7,0.756,20.78391432762146,2268,3000
64,8,0.7703333333333333,20.708735704421997,2311,3000
64,9,0.7743333333333333,20.628396034240723,2323,3000
64,10,0.7653333333333333,20.555429935455322,2296,3000
64,11,0.7623333333333333,20.860661029815674,2287,3000
64,12,0.7606666666666667,20.547702074050903,2282,3000
64,13,0.7486666666666667,20.495444774627686,2246,3000
64,14,0.7373333333333333,20.785449981689453,2212,3000
64,15,0.714,20.71382761001587,2142,3000
64,16,0.7193333333333334,20.4107985496521,2158,3000
64,17,0.7466666666666667,20.752880096435547,2240,3000
64,18,0.753,20.597731113433838,2259,3000
64,19,0.733,20.809800148010254,2199,3000
64,20,0.7646666666666667,20.84679126739502,2294,3000
64,21,0.7346666666666667,20.717105627059937,2204,3000
64,22,0.7363333333333333,21.02887773513794,2209,3000
64,23,0.7536666666666667,20.860868453979492,2261,3000
64,24,0.7583333333333333,20.681461811065674,2275,3000
64,25,0.7493333333333333,20.45658302307129,2248,3000
64,26,0.7706666666666667,21.558374643325806,2312,3000
64,27,0.763,20.417965173721313,2289,3000
64,28,0.7606666666666667,20.424970865249634,2282,3000
64,29,0.7713333333333333,21.020042419433594,2314,3000
64,30,0.7686666666666667,20.82839560508728,2306,3000
64,31,0.7703333333333333,20.5976300239563,2311,3000
64,32,0.7693333333333333,20.746428966522217,2308,3000
64,33,0.7703333333333333,20.496888399124146,2311,3000
64,34,0.7716666666666666,20.688430309295654,2315,3000
64,35,0.7723333333333333,21.0840106010437,2317,3000
64,36,0.7756666666666666,20.73972249031067,2327,3000
64,37,0.7753333333333333,20.49431848526001,2326,3000
64,38,0.7756666666666666,20.772539377212524,2327,3000
64,39,0.7773333333333333,20.472511529922485,2332,3000
64,40,0.7783333333333333,20.52794623374939,2335,3000
64,41,0.7796666666666666,20.610987663269043,2339,3000
64,42,0.78,20.739375352859497,2340,3000
64,43,0.7793333333333333,20.586249589920044,2338,3000
64,44,0.7803333333333333,20.754944801330566,2341,3000
64,45,0.7766666666666666,20.46555805206299,2330,3000
64,46,0.7766666666666666,20.574822902679443,2330,3000
64,47,0.776,21.126165628433228,2328,3000
64,48,0.7756666666666666,21.23697018623352,2327,3000
64,49,0.7763333333333333,20.441530466079712,2329,3000
64,50,0.7766666666666666,20.900564670562744,2330,3000
64,51,0.7786666666666666,20.631364822387695,2336,3000
64,52,0.7773333333333333,20.710111141204834,2332,3000
64,53,0.777,20.624465942382812,2331,3000
64,54,0.776,20.454996585845947,2328,3000
64,55,0.777,20.361265420913696,2331,3000
64,56,0.778,20.737764596939087,2334,3000
64,57,0.7776666666666666,20.91811776161194,2333,3000
64,58,0.777,20.543885946273804,2331,3000
64,59,0.7763333333333333,20.713268756866455,2329,3000
64,60,0.7763333333333333,20.460638761520386,2329,3000
64,61,0.7763333333333333,20.835331678390503,2329,3000
64,62,0.7756666666666666,20.974093914031982,2327,3000
64,63,0.7756666666666666,21.167438507080078,2327,3000
64,64,0.7753333333333333,20.44459629058838,2326,3000
64,65,0.775,20.40913414955139,2325,3000
64,66,0.775,20.54049563407898,2325,3000
64,67,0.775,20.5303635597229,2325,3000
64,68,0.7746666666666666,20.84590172767639,2324,3000
64,69,0.7743333333333333,20.600811004638672,2323,3000
64,70,0.774,20.463435411453247,2322,3000
64,71,0.774,20.64190936088562,2322,3000
64,72,0.775,20.58239722251892,2325,3000
64,73,0.774,20.65273118019104,2322,3000
64,74,0.7743333333333333,20.906216621398926,2323,3000
64,75,0.7746666666666666,21.144696712493896,2324,3000
64,76,0.775,20.38686180114746,2325,3000
64,77,0.7753333333333333,20.7862069606781,2326,3000
64,78,0.7743333333333333,20.691415309906006,2323,3000
64,79,0.775,20.48558473587036,2325,3000
64,80,0.7756666666666666,20.810763359069824,2327,3000
64,81,0.7763333333333333,20.756656169891357,2329,3000
64,82,0.7763333333333333,20.486063241958618,2329,3000
64,83,0.7766666666666666,20.92908000946045,2330,3000
64,84,0.7756666666666666,20.641977548599243,2327,3000
64,85,0.776,20.802572011947632,2328,3000
64,86,0.7766666666666666,20.942677974700928,2330,3000
64,87,0.7773333333333333,21.556753396987915,2332,3000
64,88,0.777,20.68081521987915,2331,3000
64,89,0.777,20.75880265235901,2331,3000
64,90,0.777,20.501434087753296,2331,3000
64,91,0.777,20.73850917816162,2331,3000
64,92,0.7773333333333333,20.9657244682312,2332,3000
64,93,0.778,21.1066792011261,2334,3000
64,94,0.7793333333333333,20.546403408050537,2338,3000
64,95,0.7793333333333333,20.5634548664093,2338,3000
64,96,0.7803333333333333,20.509942531585693,2341,3000
64,97,0.78,20.49990463256836,2340,3000
64,98,0.7793333333333333,20.543559789657593,2338,3000
64,99,0.7776666666666666,20.679572820663452,2333,3000
64,100,0.7773333333333333,20.698978900909424,2332,3000
