Dataset,Epoch,Accuracy,Time,Total Correct,Total Test Sample
8,1,0.5756666666666667,21.019049167633057,1727,3000
8,2,0.6213333333333333,20.937487363815308,1864,3000
8,3,0.6446666666666667,20.762052297592163,1934,3000
8,4,0.6753333333333333,20.544235467910767,2026,3000
8,5,0.7103333333333334,20.31965208053589,2131,3000
8,6,0.7286666666666667,20.55982756614685,2186,3000
8,7,0.7463333333333333,20.855048179626465,2239,3000
8,8,0.7543333333333333,20.375076293945312,2263,3000
8,9,0.7546666666666667,20.380069255828857,2264,3000
8,10,0.7533333333333333,20.345793962478638,2260,3000
8,11,0.7566666666666667,20.48457360267639,2270,3000
8,12,0.7396666666666667,20.448949337005615,2219,3000
8,13,0.7156666666666667,20.89402985572815,2147,3000
8,14,0.735,20.67290163040161,2205,3000
8,15,0.73,20.371711015701294,2190,3000
8,16,0.69,20.496891498565674,2070,3000
8,17,0.7106666666666667,20.464356184005737,2132,3000
8,18,0.733,20.317296028137207,2199,3000
8,19,0.7366666666666667,20.439775705337524,2210,3000
8,20,0.759,20.694344520568848,2277,3000
8,21,0.752,20.39215064048767,2256,3000
8,22,0.728,20.30035924911499,2184,3000
8,23,0.7536666666666667,21.04741072654724,2261,3000
8,24,0.7386666666666667,20.507466316223145,2216,3000
8,25,0.7343333333333333,20.323952436447144,2203,3000
8,26,0.757,20.343713760375977,2271,3000
8,27,0.761,20.382277727127075,2283,3000
8,28,0.7493333333333333,20.797423124313354,2248,3000
8,29,0.7536666666666667,20.876277446746826,2261,3000
8,30,0.7576666666666667,20.41802167892456,2273,3000
8,31,0.7683333333333333,20.455857038497925,2305,3000
8,32,0.767,20.42591667175293,2301,3000
8,33,0.7683333333333333,20.338517665863037,2305,3000
8,34,0.7703333333333333,20.809657335281372,2311,3000
8,35,0.7716666666666666,21.03566884994507,2315,3000
8,36,0.7703333333333333,20.617319107055664,2311,3000
8,37,0.773,20.46556854248047,2319,3000
8,38,0.7723333333333333,20.587815046310425,2317,3000
8,39,0.7723333333333333,20.323420524597168,2317,3000
8,40,0.7703333333333333,20.447988986968994,2311,3000
8,41,0.7716666666666666,20.522427320480347,2315,3000
8,42,0.7733333333333333,20.59464144706726,2320,3000
8,43,0.7733333333333333,20.684257984161377,2320,3000
8,44,0.7723333333333333,20.67996096611023,2317,3000
8,45,0.7723333333333333,20.497677087783813,2317,3000
8,46,0.772,20.393968105316162,2316,3000
8,47,0.7736666666666666,20.606893062591553,2321,3000
8,48,0.7733333333333333,20.497143268585205,2320,3000
8,49,0.7723333333333333,20.483984231948853,2317,3000
8,50,0.773,20.34349536895752,2319,3000
8,51,0.7716666666666666,20.601383686065674,2315,3000
8,52,0.772,20.537914276123047,2316,3000
8,53,0.7713333333333333,20.67767834663391,2314,3000
8,54,0.772,21.0738844871521,2316,3000
8,55,0.771,20.573034048080444,2313,3000
8,56,0.7713333333333333,20.653846979141235,2314,3000
8,57,0.7706666666666667,20.536704778671265,2312,3000
8,58,0.7703333333333333,20.565356731414795,2311,3000
8,59,0.7703333333333333,20.31452178955078,2311,3000
8,60,0.7706666666666667,20.443637132644653,2312,3000
8,61,0.771,20.42943286895752,2313,3000
8,62,0.7706666666666667,20.44131064414978,2312,3000
8,63,0.7696666666666667,20.466724395751953,2309,3000
8,64,0.7703333333333333,20.48234796524048,2311,3000
8,65,0.7693333333333333,20.72195792198181,2308,3000
8,66,0.771,20.513659238815308,2313,3000
8,67,0.7703333333333333,20.449891567230225,2311,3000
8,68,0.7713333333333333,20.587705612182617,2314,3000
8,69,0.771,20.851263523101807,2313,3000
8,70,0.772,21.099239349365234,2316,3000
8,71,0.7713333333333333,20.466166973114014,2314,3000
8,72,0.771,20.588488817214966,2313,3000
8,73,0.7716666666666666,20.267578125,2315,3000
8,74,0.7716666666666666,20.40625762939453,2315,3000
8,75,0.772,20.740889310836792,2316,3000
8,76,0.7716666666666666,20.500693321228027,2315,3000
8,77,0.7723333333333333,20.596238136291504,2317,3000
8,78,0.7713333333333333,20.66645121574402,2314,3000
8,79,0.7723333333333333,20.29022717475891,2317,3000
8,80,0.7713333333333333,20.583285093307495,2314,3000
8,81,0.7716666666666666,20.65468692779541,2315,3000
8,82,0.7716666666666666,20.300354719161987,2315,3000
8,83,0.772,21.042160987854004,2316,3000
8,84,0.7713333333333333,21.058269500732422,2314,3000
8,85,0.7713333333333333,20.34703493118286,2314,3000
8,86,0.7713333333333333,20.531100511550903,2314,3000
8,87,0.7706666666666667,20.548026084899902,2312,3000
8,88,0.7703333333333333,20.432624578475952,2311,3000
8,89,0.7713333333333333,20.829802989959717,2314,3000
8,90,0.7703333333333333,20.571366786956787,2311,3000
8,91,0.7706666666666667,20.732591152191162,2312,3000
8,92,0.771,20.462037324905396,2313,3000
8,93,0.7706666666666667,20.620190620422363,2312,3000
8,94,0.7696666666666667,20.674554586410522,2309,3000
8,95,0.7703333333333333,20.369100332260132,2311,3000
8,96,0.77,20.473275423049927,2310,3000
8,97,0.7693333333333333,20.427131175994873,2308,3000
8,98,0.77,20.65599012374878,2310,3000
8,99,0.77,20.758363723754883,2310,3000
8,100,0.7686666666666667,20.674048900604248,2306,3000
